_c0,signal_std,signal_rad,pluie
2022-12-07T23:26:00.000+01:00,-19.989773,-31.118324,0
2022-12-07T23:27:00.000+01:00,-19.95355,-31.124718,0
2022-12-07T23:28:00.000+01:00,-19.966335,-31.122585,0
2022-12-07T23:29:00.000+01:00,-20.001846,-31.126137,0
2022-12-07T23:30:00.000+01:00,-19.985512,-31.125427,0
2022-12-07T23:31:00.000+01:00,-19.997585,-31.13395,0
2022-12-07T23:32:00.000+01:00,-19.937927,-31.13395,0
2022-12-07T23:33:00.000+01:00,-19.971306,-31.132528,0
2022-12-07T23:34:00.000+01:00,-19.957813,-31.119743,0
2022-12-07T23:35:00.000+01:00,-20.005398,-31.134659,0
2022-12-07T23:36:00.000+01:00,-19.949291,-31.125427,0
2022-12-07T23:37:00.000+01:00,-19.972015,-31.127556,0
2022-12-07T23:38:00.000+01:00,-19.963493,-31.131107,0
2022-12-07T23:39:00.000+01:00,-19.976278,-31.131819,0
2022-12-07T23:40:00.000+01:00,-19.974148,-31.126846,0
2022-12-07T23:41:00.000+01:00,-19.956392,-31.124716,0
2022-12-07T23:42:00.000+01:00,-19.973438,-31.135368,0
2022-12-07T23:43:00.000+01:00,-19.95284,-31.131817,0
2022-12-07T23:44:00.000+01:00,-19.969177,-31.132528,0
2022-12-07T23:45:00.000+01:00,-19.937927,-31.130398,0
2022-12-07T23:46:00.000+01:00,-20.006107,-31.129688,0
2022-12-07T23:47:00.000+01:00,-19.972017,-31.130398,0
2022-12-07T23:48:00.000+01:00,-19.935795,-31.124006,0
2022-12-07T23:49:00.000+01:00,-19.939346,-31.130398,0
2022-12-07T23:50:00.000+01:00,-19.954971,-31.119034,0
2022-12-07T23:51:00.000+01:00,-19.974857,-31.13324,0
2022-12-07T23:52:00.000+01:00,-19.967754,-31.126846,0
2022-12-07T23:53:00.000+01:00,-19.974857,-31.116192,0
2022-12-07T23:54:00.000+01:00,-19.953552,-31.125427,0
2022-12-07T23:55:00.000+01:00,-19.944317,-31.122585,0
2022-12-07T23:56:00.000+01:00,-19.915909,-31.113352,0
2022-12-07T23:57:00.000+01:00,-19.931534,-31.116194,0
2022-12-07T23:58:00.000+01:00,-19.91662,-31.10909,0
2022-12-07T23:59:00.000+01:00,-19.957813,-31.114063,0
2022-12-08T00:00:00.000+01:00,-19.929403,-31.125427,0
2022-12-08T00:01:00.000+01:00,-19.98267,-31.112642,0
2022-12-08T00:02:00.000+01:00,-19.923012,-31.113354,0
2022-12-08T00:03:00.000+01:00,-19.940056,-31.114773,0
2022-12-08T00:04:00.000+01:00,-19.911648,-31.111221,0
2022-12-08T00:05:00.000+01:00,-19.94574,-31.121166,0
2022-12-08T00:06:00.000+01:00,-19.930824,-31.110512,0
2022-12-08T00:07:00.000+01:00,-19.88324,-31.119743,0
2022-12-08T00:08:00.000+01:00,-19.926563,-31.114063,0
2022-12-08T00:09:00.000+01:00,-19.932245,-31.11193,0
2022-12-08T00:10:00.000+01:00,-19.880398,-31.118324,0
2022-12-08T00:11:00.000+01:00,-19.95,-31.125427,0
2022-12-08T00:12:00.000+01:00,-19.91946,-31.112642,0
2022-12-08T00:13:00.000+01:00,-19.900284,-31.119034,0
2022-12-08T00:14:00.000+01:00,-19.927273,-31.110512,0
2022-12-08T00:15:00.000+01:00,-19.927982,-31.109802,0
2022-12-08T00:16:00.000+01:00,-19.893892,-31.114773,0
2022-12-08T00:17:00.000+01:00,-19.912357,-31.116192,0
2022-12-08T00:18:00.000+01:00,-19.912357,-31.116194,0
2022-12-08T00:19:00.000+01:00,-19.898865,-31.117615,0
2022-12-08T00:20:00.000+01:00,-19.91449,-31.109802,0
2022-12-08T00:21:00.000+01:00,-19.869034,-31.119743,0
2022-12-08T00:22:00.000+01:00,-19.929403,-31.119034,0
2022-12-08T00:23:00.000+01:00,-19.922302,-31.120455,0
2022-12-08T00:24:00.000+01:00,-19.961365,-31.115482,0
2022-12-08T00:25:00.000+01:00,-19.98267,-31.131817,0
2022-12-08T00:26:00.000+01:00,-19.942188,-31.116192,0
2022-12-08T00:27:00.000+01:00,-19.927273,-31.121166,0
2022-12-08T00:28:00.000+01:00,-19.911648,-31.119034,0
2022-12-08T00:29:00.000+01:00,-19.92017,-31.115482,0
2022-12-08T00:30:00.000+01:00,-19.962074,-31.124004,0
2022-12-08T00:31:00.000+01:00,-19.918041,-31.116903,0
2022-12-08T00:32:00.000+01:00,-19.850569,-31.121876,0
2022-12-08T00:33:00.000+01:00,-19.910938,-31.114063,0
2022-12-08T00:34:00.000+01:00,-19.947868,-31.118324,0
2022-12-08T00:35:00.000+01:00,-19.927273,-31.121164,0
2022-12-08T00:36:00.000+01:00,-19.936504,-31.120455,0
2022-12-08T00:37:00.000+01:00,-19.92017,-31.115482,0
2022-12-08T00:38:00.000+01:00,-19.92017,-31.116903,0
2022-12-08T00:39:00.000+01:00,-19.925854,-31.10625,0
2022-12-08T00:40:00.000+01:00,-19.900284,-31.118324,0
2022-12-08T00:41:00.000+01:00,-19.874716,-31.117615,0
2022-12-08T00:42:00.000+01:00,-19.871876,-31.111221,0
2022-12-08T00:43:00.000+01:00,-19.885368,-31.111933,0
2022-12-08T00:44:00.000+01:00,-19.922302,-31.108381,0
2022-12-08T00:45:00.000+01:00,-19.896023,-31.104118,0
2022-12-08T00:46:00.000+01:00,-19.881817,-31.10909,0
2022-12-08T00:47:00.000+01:00,-19.876137,-31.097017,0
2022-12-08T00:48:00.000+01:00,-19.884659,-31.10625,0
2022-12-08T00:49:00.000+01:00,-19.915909,-31.118324,0
