pluie,mean_std,stddev_std,mean_rad,stddev_rad,window_start,window_end
0,-22.425497,,-29.5125,,2022-06-06T11:47:00.000+02:00,2022-06-06T11:48:00.000+02:00
0,-22.584944,,-29.677273,,2022-06-12T13:05:00.000+02:00,2022-06-12T13:06:00.000+02:00
0,-22.351633,,-29.317188,,2022-06-14T00:57:00.000+02:00,2022-06-14T00:58:00.000+02:00
0,-22.187572,,-29.194319,,2022-06-06T06:21:00.000+02:00,2022-06-06T06:22:00.000+02:00
1,-22.345951,,-28.837784,,2022-09-02T02:28:00.000+02:00,2022-09-02T02:29:00.000+02:00
0,-23.976633,,-30.754688,,2022-12-06T23:36:00.000+01:00,2022-12-06T23:37:00.000+01:00
0,-22.132883,,-29.314346,,2022-07-21T20:25:00.000+02:00,2022-07-21T20:26:00.000+02:00
0,-22.57429,,-29.782387,,2022-10-31T19:46:00.000+01:00,2022-10-31T19:47:00.000+01:00
0,-22.435795,,-29.533096,,2022-06-15T11:55:00.000+02:00,2022-06-15T11:56:00.000+02:00
0,-22.639277,,-29.453196,,2022-09-12T12:11:00.000+02:00,2022-09-12T12:12:00.000+02:00
0,-23.535938,,-30.387144,,2022-08-26T12:32:00.000+02:00,2022-08-26T12:33:00.000+02:00
0,-23.503267,,-30.463139,,2022-10-27T00:29:00.000+02:00,2022-10-27T00:30:00.000+02:00
0,-22.523153,,-29.57571,,2022-06-16T16:39:00.000+02:00,2022-06-16T16:40:00.000+02:00
1,-22.58814,,-29.373652,,2022-07-04T15:34:00.000+02:00,2022-07-04T15:35:00.000+02:00
0,-22.854118,,-29.851635,,2022-12-09T10:51:00.000+01:00,2022-12-09T10:52:00.000+01:00
1,-22.444319,,-29.478054,,2022-06-27T16:42:00.000+02:00,2022-06-27T16:43:00.000+02:00
0,-22.375782,,-29.568253,,2022-07-20T08:50:00.000+02:00,2022-07-20T08:51:00.000+02:00
0,-22.480185,,-29.255753,,2022-09-04T10:24:00.000+02:00,2022-09-04T10:25:00.000+02:00
0,-22.540554,,-29.78132,,2022-11-10T03:56:00.000+01:00,2022-11-10T03:57:00.000+01:00
0,-23.46243,,-30.190056,,2022-10-10T11:27:00.000+02:00,2022-10-10T11:28:00.000+02:00
0,-23.315056,,-30.65348,,2022-11-30T22:59:00.000+01:00,2022-11-30T23:00:00.000+01:00
0,-20.538067,,-29.150284,,2022-12-29T02:37:00.000+01:00,2022-12-29T02:38:00.000+01:00
0,-22.378622,,-29.393538,,2022-05-20T19:28:00.000+02:00,2022-05-20T19:29:00.000+02:00
0,-22.237997,,-29.208523,,2022-08-30T23:32:00.000+02:00,2022-08-30T23:33:00.000+02:00
0,-22.173367,,-29.224503,,2022-06-14T05:22:00.000+02:00,2022-06-14T05:23:00.000+02:00
0,-23.292685,,-30.237288,,2022-10-21T00:20:00.000+02:00,2022-10-21T00:21:00.000+02:00
0,-23.303337,,-29.971306,,2022-09-30T14:35:00.000+02:00,2022-09-30T14:36:00.000+02:00
0,,,,,2022-06-01T22:48:00.000+02:00,2022-06-01T22:49:00.000+02:00
0,-22.549788,,-29.692188,,2022-08-29T15:15:00.000+02:00,2022-08-29T15:16:00.000+02:00
0,-23.611576,,-30.74865,,2022-11-21T11:48:00.000+01:00,2022-11-21T11:49:00.000+01:00
1,-23.288424,,-30.177273,,2022-10-17T16:30:00.000+02:00,2022-10-17T16:31:00.000+02:00
0,-22.567543,,-29.693253,,2022-08-22T14:35:00.000+02:00,2022-08-22T14:36:00.000+02:00
0,-22.61797,,-29.570028,,2022-06-19T07:15:00.000+02:00,2022-06-19T07:16:00.000+02:00
0,-23.495455,,-30.27706,,2022-12-03T08:20:00.000+01:00,2022-12-03T08:21:00.000+01:00
0,-20.550142,,-29.072514,,2022-12-28T05:21:00.000+01:00,2022-12-28T05:22:00.000+01:00
0,-22.135725,,-29.010723,,2022-12-10T03:29:00.000+01:00,2022-12-10T03:30:00.000+01:00
0,-22.07287,,-29.130753,,2022-07-21T03:48:00.000+02:00,2022-07-21T03:49:00.000+02:00
0,-22.165554,,-29.13608,,2022-08-20T07:25:00.000+02:00,2022-08-20T07:26:00.000+02:00
0,-22.210299,,-29.267117,,2022-08-19T08:32:00.000+02:00,2022-08-19T08:33:00.000+02:00
0,-22.541265,,-29.740837,,2022-05-19T11:34:00.000+02:00,2022-05-19T11:35:00.000+02:00
0,-22.163424,,-29.212074,,2022-06-06T05:37:00.000+02:00,2022-06-06T05:38:00.000+02:00
1,-22.333878,,-29.438282,,2022-05-18T18:41:00.000+02:00,2022-05-18T18:42:00.000+02:00
0,-23.057245,,-29.980185,,2022-11-05T09:15:00.000+01:00,2022-11-05T09:16:00.000+01:00
0,-22.184376,,-29.10767,,2022-09-01T19:21:00.000+02:00,2022-09-01T19:22:00.000+02:00
0,-23.453552,,-30.548367,,2022-11-26T04:43:00.000+01:00,2022-11-26T04:44:00.000+01:00
0,-22.322159,,-29.414845,,2022-07-18T03:52:00.000+02:00,2022-07-18T03:53:00.000+02:00
0,-22.741194,,-29.777414,,2022-06-20T12:31:00.000+02:00,2022-06-20T12:32:00.000+02:00
0,-22.438637,,-29.598793,,2022-07-03T08:51:00.000+02:00,2022-07-03T08:52:00.000+02:00
